image_id,input,output,w,h,html_output,html_input,outputs
alexandru-zdrobau-200768-unsplash,alexandru-zdrobau-200768-unsplash.jpg,alexandru-zdrobau-200768-unsplashBOX.jpg,4000,6016,"<h1>Alexandru Zdrobau</h1><div class=""output"" id=""alexandru-zdrobau-200768-unsplash""><img class=""img_output"" src=""./ImagesFashwell/alexandru-zdrobau-200768-unsplashBOX.jpg""></div><div class=""products""><ul><li style=""color:red""><span style=""color:red"">Category: Jackets & Coats. <a style=""color:red"" target=""_blank"" href=""https://www.zalando.co.uk/modstroem-pamela-coat-classic-coat-mo421u00h-m11.html"">Best match: Modstroem Pamela Coat Classic Coat</a></span></li><li style=""color:blue""><span style=""color:blue"">Category: Bags. <a style=""color:blue"" target=""_blank"" href=""https://www.zalando.co.uk/zac-zac-posen-eartha-iconic-soft-top-handle-solid-handbag-zz151h056-g11.html"">Best match: Zac Zac Posen Eartha Iconic Soft Top Handle Solid Handbag</a></span></li></ul></div>","<div class=""input""><img class=""img_input"" src=""./ImagesFashwell/alexandru-zdrobau-200768-unsplash.jpg""></div>","[{'rect': [531, 531, 2697, 5224], 'colour': 'red', 'product': 'Modstroem Pamela Coat Classic Coat', 'link': 'https://www.zalando.co.uk/modstroem-pamela-coat-classic-coat-mo421u00h-m11.html', 'category': 'Jackets & Coats'}, {'rect': [592, 592, 2447, 5996], 'colour': 'blue', 'product': 'Zac Zac Posen Eartha Iconic Soft Top Handle Solid Handbag', 'link': 'https://www.zalando.co.uk/zac-zac-posen-eartha-iconic-soft-top-handle-solid-handbag-zz151h056-g11.html', 'category': 'Bags'}]"
anthony-ginsbrook-294309-unsplash,anthony-ginsbrook-294309-unsplash.jpg,anthony-ginsbrook-294309-unsplashBOX.jpg,5472,3648,"<h1>Anthony Ginsbrook</h1><div class=""output"" id=""anthony-ginsbrook-294309-unsplash""><img class=""img_output"" src=""./ImagesFashwell/anthony-ginsbrook-294309-unsplashBOX.jpg""></div><div class=""products""><ul><li style=""color:red""><span style=""color:red"">Category: Eyewear. <a style=""color:red"" target=""_blank"" href=""https://www.zalando.co.uk/ray-ban-sunglasses-trasparent--brown-gradient-mirror-silver-ra254e00r-a11.html"">Best match: Ray Ban Sunglasses Trasparent  Brown Gradient Mirror Silver</a></span></li><li style=""color:blue""><span style=""color:blue"">Category: Tops & Tees. <a style=""color:blue"" target=""_blank"" href=""https://www.zalando.co.uk/g-star-vim-loose-print-t-shirt-khakiarmy-green-gs121d0i5-t11.html"">Best match: G Star Vim Loose Print T Shirt Khakiarmy Green</a></span></li><li style=""color:green""><span style=""color:green"">Category: Jackets & Coats. <a style=""color:green"" target=""_blank"" href=""https://www.zalando.co.uk/levisr-original-trucker-denim-jacket-soft-as-butter-dark-le221g031-k11.html"">Best match: Levisr Original Trucker Denim Jacket Soft As Butter Dark</a></span></li><li style=""color:orange""><span style=""color:orange"">Category: Jeans & Trousers. <a style=""color:orange"" target=""_blank"" href=""https://www.zalando.co.uk/dorothy-perkins-rip-darcy-jeans-skinny-fit-black-dp521n076-q11.html"">Best match: Dorothy Perkins Rip Darcy Jeans Skinny Fit Black</a></span></li><li style=""color:black""><span style=""color:black"">Category: Shoes. <a style=""color:black"" target=""_blank"" href=""https://www.zalando.co.uk/converse-run-star-ox-trainers-blackalmost-black-co411a0uz-q11.html"">Best match: Converse Run Star Ox Trainers Blackalmost Black</a></span></li></ul></div>","<div class=""input""><img class=""img_input"" src=""./ImagesFashwell/anthony-ginsbrook-294309-unsplash.jpg""></div>","[{'rect': [2369, 2369, 2650, 868], 'colour': 'red', 'product': 'Ray Ban Sunglasses Trasparent  Brown Gradient Mirror Silver', 'link': 'https://www.zalando.co.uk/ray-ban-sunglasses-trasparent--brown-gradient-mirror-silver-ra254e00r-a11.html', 'category': 'Eyewear'}, {'rect': [2455, 2455, 3088, 1657], 'colour': 'blue', 'product': 'G Star Vim Loose Print T Shirt Khakiarmy Green', 'link': 'https://www.zalando.co.uk/g-star-vim-loose-print-t-shirt-khakiarmy-green-gs121d0i5-t11.html', 'category': 'Tops & Tees'}, {'rect': [2330, 2330, 3510, 2009], 'colour': 'green', 'product': 'Levisr Original Trucker Denim Jacket Soft As Butter Dark', 'link': 'https://www.zalando.co.uk/levisr-original-trucker-denim-jacket-soft-as-butter-dark-le221g031-k11.html', 'category': 'Jackets & Coats'}, {'rect': [2134, 2134, 3119, 2619], 'colour': 'orange', 'product': 'Dorothy Perkins Rip Darcy Jeans Skinny Fit Black', 'link': 'https://www.zalando.co.uk/dorothy-perkins-rip-darcy-jeans-skinny-fit-black-dp521n076-q11.html', 'category': 'Jeans & Trousers'}, {'rect': [3119, 3119, 3549, 2423], 'colour': 'black', 'product': 'Converse Run Star Ox Trainers Blackalmost Black', 'link': 'https://www.zalando.co.uk/converse-run-star-ox-trainers-blackalmost-black-co411a0uz-q11.html', 'category': 'Shoes'}]"
brooke-cagle-195860-unsplash,brooke-cagle-195860-unsplash.jpg,brooke-cagle-195860-unsplashBOX.jpg,3404,5106,"<h1>Brooke Cagle</h1><div class=""output"" id=""brooke-cagle-195860-unsplash""><img class=""img_output"" src=""./ImagesFashwell/brooke-cagle-195860-unsplashBOX.jpg""></div><div class=""products""><ul><li style=""color:red""><span style=""color:red"">Category: Eyewear. <a style=""color:red"" target=""_blank"" href=""https://www.zalando.co.uk/ray-ban-clubmaster-sunglasses-brown-ra254f002-703.html"">Best match: Ray Ban Clubmaster Sunglasses Brown</a></span></li><li style=""color:blue""><span style=""color:blue"">Category: Jeans & Trousers. <a style=""color:blue"" target=""_blank"" href=""https://www.zalando.co.uk/american-eagle-next-jeans-skinny-fit-am421n000-q11.html"">Best match: American Eagle Next Jeans Skinny Fit</a></span></li><li style=""color:green""><span style=""color:green"">Category: Jumpers & Cardigans. <a style=""color:green"" target=""_blank"" href=""https://www.zalando.co.uk/aaiko-trilly-jumper-aa321i02m-c11.html"">Best match: Aaiko Trilly Jumper</a></span></li></ul></div>","<div class=""input""><img class=""img_input"" src=""./ImagesFashwell/brooke-cagle-195860-unsplash.jpg""></div>","[{'rect': [1957, 1957, 2493, 2110], 'colour': 'red', 'product': 'Ray Ban Clubmaster Sunglasses Brown', 'link': 'https://www.zalando.co.uk/ray-ban-clubmaster-sunglasses-brown-ra254f002-703.html', 'category': 'Eyewear'}, {'rect': [1200, 1200, 2519, 5097], 'colour': 'blue', 'product': 'American Eagle Next Jeans Skinny Fit', 'link': 'https://www.zalando.co.uk/american-eagle-next-jeans-skinny-fit-am421n000-q11.html', 'category': 'Jeans & Trousers'}, {'rect': [1064, 1064, 2860, 4093], 'colour': 'green', 'product': 'Aaiko Trilly Jumper', 'link': 'https://www.zalando.co.uk/aaiko-trilly-jumper-aa321i02m-c11.html', 'category': 'Jumpers & Cardigans'}]"
brooke-cagle-241289-unsplash,brooke-cagle-241289-unsplash.jpg,brooke-cagle-241289-unsplashBOX.jpg,3601,5401,"<h1>Brooke Cagle</h1><div class=""output"" id=""brooke-cagle-241289-unsplash""><img class=""img_output"" src=""./ImagesFashwell/brooke-cagle-241289-unsplashBOX.jpg""></div><div class=""products""><ul><li style=""color:red""><span style=""color:red"">Category: Tops & Tees. <a style=""color:red"" target=""_blank"" href=""https://www.zalando.co.uk/dickies-dickies-baseball-long-sleeved-top-black-di622d01c-q11.html"">Best match: Dickies Dickies Baseball Long Sleeved Top Black</a></span></li><li style=""color:blue""><span style=""color:blue"">Category: Jeans & Trousers. <a style=""color:blue"" target=""_blank"" href=""https://www.zalando.co.uk/camel-active-woodstock-straight-leg-jeans-grey-denim-ca522g06i-c11.html"">Best match: Camel Active Woodstock Straight Leg Jeans Grey Denim</a></span></li></ul></div>","<div class=""input""><img class=""img_input"" src=""./ImagesFashwell/brooke-cagle-241289-unsplash.jpg""></div>","[{'rect': [882, 882, 2511, 3537], 'colour': 'red', 'product': 'Dickies Dickies Baseball Long Sleeved Top Black', 'link': 'https://www.zalando.co.uk/dickies-dickies-baseball-long-sleeved-top-black-di622d01c-q11.html', 'category': 'Tops & Tees'}, {'rect': [585, 585, 2430, 4339], 'colour': 'blue', 'product': 'Camel Active Woodstock Straight Leg Jeans Grey Denim', 'link': 'https://www.zalando.co.uk/camel-active-woodstock-straight-leg-jeans-grey-denim-ca522g06i-c11.html', 'category': 'Jeans & Trousers'}]"
brooke-cagle-274465-unsplash,brooke-cagle-274465-unsplash.jpg,brooke-cagle-274465-unsplashBOX.jpg,5430,3620,"<h1>Brooke Cagle</h1><div class=""output"" id=""brooke-cagle-274465-unsplash""><img class=""img_output"" src=""./ImagesFashwell/brooke-cagle-274465-unsplashBOX.jpg""></div><div class=""products""><ul><li style=""color:red""><span style=""color:red"">Category: Eyewear. <a style=""color:red"" target=""_blank"" href=""https://www.zalando.co.uk/ray-ban-sunglasses-black-ra254e010-q11.html"">Best match: Ray Ban Sunglasses Black</a></span></li><li style=""color:blue""><span style=""color:blue"">Category: Jackets & Coats. <a style=""color:blue"" target=""_blank"" href=""https://www.zalando.co.uk/jack-and-jones-jorrayan-shirt-shirt-ja222d1m9-b11.html"">Best match: Jack And Jones Jorrayan Shirt Shirt</a></span></li></ul></div>","<div class=""input""><img class=""img_input"" src=""./ImagesFashwell/brooke-cagle-274465-unsplash.jpg""></div>","[{'rect': [2265, 2265, 3103, 1652], 'colour': 'red', 'product': 'Ray Ban Sunglasses Black', 'link': 'https://www.zalando.co.uk/ray-ban-sunglasses-black-ra254e010-q11.html', 'category': 'Eyewear'}, {'rect': [1427, 1427, 3956, 3569], 'colour': 'blue', 'product': 'Jack And Jones Jorrayan Shirt Shirt', 'link': 'https://www.zalando.co.uk/jack-and-jones-jorrayan-shirt-shirt-ja222d1m9-b11.html', 'category': 'Jackets & Coats'}]"
brooke-cagle-39574-unsplash,brooke-cagle-39574-unsplash.jpg,brooke-cagle-39574-unsplashBOX.jpg,5472,3648,"<h1>Brooke Cagle</h1><div class=""output"" id=""brooke-cagle-39574-unsplash""><img class=""img_output"" src=""./ImagesFashwell/brooke-cagle-39574-unsplashBOX.jpg""></div><div class=""products""><ul><li style=""color:red""><span style=""color:red"">Category: Jeans & Trousers. <a style=""color:red"" target=""_blank"" href=""https://www.zalando.co.uk/river-island-petite-relaxed-fit-jeans-light-blue-denim-rif21n00e-k11.html"">Best match: River Island Petite Relaxed Fit Jeans Light Blue Denim</a></span></li><li style=""color:blue""><span style=""color:blue"">Category: Jumpers & Cardigans. <a style=""color:blue"" target=""_blank"" href=""https://www.zalando.co.uk/edited-fawini-jumper-edd21i009-q11.html"">Best match: Edited Fawini Jumper</a></span></li></ul></div>","<div class=""input""><img class=""img_input"" src=""./ImagesFashwell/brooke-cagle-39574-unsplash.jpg""></div>","[{'rect': [2470, 2470, 3017, 3205], 'colour': 'red', 'product': 'River Island Petite Relaxed Fit Jeans Light Blue Denim', 'link': 'https://www.zalando.co.uk/river-island-petite-relaxed-fit-jeans-light-blue-denim-rif21n00e-k11.html', 'category': 'Jeans & Trousers'}, {'rect': [2204, 2204, 3072, 2626], 'colour': 'blue', 'product': 'Edited Fawini Jumper', 'link': 'https://www.zalando.co.uk/edited-fawini-jumper-edd21i009-q11.html', 'category': 'Jumpers & Cardigans'}]"
camila-damasio-91788-unsplash,camila-damasio-91788-unsplash.jpg,camila-damasio-91788-unsplashBOX.jpg,5184,3456,"<h1>Camila Damasio</h1><div class=""output"" id=""camila-damasio-91788-unsplash""><img class=""img_output"" src=""./ImagesFashwell/camila-damasio-91788-unsplashBOX.jpg""></div><div class=""products""><ul><li style=""color:red""><span style=""color:red"">Category: Shoes. <a style=""color:red"" target=""_blank"" href=""https://www.zalando.co.uk/converse-as-hi-can-trainers-black-co411a00u-802.html"">Best match: Converse As Hi Can Trainers Black</a></span></li><li style=""color:blue""><span style=""color:blue"">Category: Shoes. <a style=""color:blue"" target=""_blank"" href=""https://www.zalando.co.uk/converse-as-hi-can-trainers-black-co411a00u-802.html"">Best match: Converse As Hi Can Trainers Black</a></span></li></ul></div>","<div class=""input""><img class=""img_input"" src=""./ImagesFashwell/camila-damasio-91788-unsplash.jpg""></div>","[{'rect': [1192, 1192, 2925, 2881], 'colour': 'red', 'product': 'Converse As Hi Can Trainers Black', 'link': 'https://www.zalando.co.uk/converse-as-hi-can-trainers-black-co411a00u-802.html', 'category': 'Shoes'}, {'rect': [2925, 2925, 4451, 2459], 'colour': 'blue', 'product': 'Converse As Hi Can Trainers Black', 'link': 'https://www.zalando.co.uk/converse-as-hi-can-trainers-black-co411a00u-802.html', 'category': 'Shoes'}]"
eli-defaria-100531-unsplash,eli-defaria-100531-unsplash.jpg,eli-defaria-100531-unsplashBOX.jpg,5760,3840,"<h1>Eli Defaria</h1><div class=""output"" id=""eli-defaria-100531-unsplash""><img class=""img_output"" src=""./ImagesFashwell/eli-defaria-100531-unsplashBOX.jpg""></div><div class=""products""><ul><li style=""color:red""><span style=""color:red"">Category: Hats & Beanies. <a style=""color:red"" target=""_blank"" href=""https://www.zalando.co.uk/kangol-tropic-rap-hat-hat-black-k3954r00b-q11.html"">Best match: Kangol Tropic Rap Hat Hat Black</a></span></li><li style=""color:blue""><span style=""color:blue"">Category: Jeans & Trousers. <a style=""color:blue"" target=""_blank"" href=""https://www.zalando.co.uk/zalando-essentials-chinos-black-za821aa06-q11.html"">Best match: Zalando Essentials Chinos Black</a></span></li><li style=""color:green""><span style=""color:green"">Category: Jackets & Coats. <a style=""color:green"" target=""_blank"" href=""https://www.zalando.co.uk/elizabeth-and-james-reese-trenchcoat-charcoal-ej321u001-q11.html"">Best match: Elizabeth And James Reese Trenchcoat Charcoal</a></span></li></ul></div>","<div class=""input""><img class=""img_input"" src=""./ImagesFashwell/eli-defaria-100531-unsplash.jpg""></div>","[{'rect': [2551, 2551, 3440, 864], 'colour': 'red', 'product': 'Kangol Tropic Rap Hat Hat Black', 'link': 'https://www.zalando.co.uk/kangol-tropic-rap-hat-hat-black-k3954r00b-q11.html', 'category': 'Hats & Beanies'}, {'rect': [2246, 2246, 3439, 3835], 'colour': 'blue', 'product': 'Zalando Essentials Chinos Black', 'link': 'https://www.zalando.co.uk/zalando-essentials-chinos-black-za821aa06-q11.html', 'category': 'Jeans & Trousers'}, {'rect': [1983, 1983, 3604, 3415], 'colour': 'green', 'product': 'Elizabeth And James Reese Trenchcoat Charcoal', 'link': 'https://www.zalando.co.uk/elizabeth-and-james-reese-trenchcoat-charcoal-ej321u001-q11.html', 'category': 'Jackets & Coats'}]"
gabriel-benois-1455544-unsplash,gabriel-benois-1455544-unsplash.jpg,gabriel-benois-1455544-unsplashBOX.jpg,4160,5536,"<h1>Gabriel Benois</h1><div class=""output"" id=""gabriel-benois-1455544-unsplash""><img class=""img_output"" src=""./ImagesFashwell/gabriel-benois-1455544-unsplashBOX.jpg""></div><div class=""products""><ul><li style=""color:red""><span style=""color:red"">Category: Hats & Beanies. <a style=""color:red"" target=""_blank"" href=""https://www.zalando.co.uk/chillouts-devenport-hat-hat-brown-melange-c9654r005-o11.html"">Best match: Chillouts Devenport Hat Hat Brown Melange</a></span></li><li style=""color:blue""><span style=""color:blue"">Category: Tops & Tees. <a style=""color:blue"" target=""_blank"" href=""https://www.zalando.co.uk/tommy-hilfiger-corp-underline-tee-print-t-shirt-white-to122o09d-a11.html"">Best match: Tommy Hilfiger Corp Underline Tee Print T Shirt White</a></span></li><li style=""color:green""><span style=""color:green"">Category: Jeans & Trousers. <a style=""color:green"" target=""_blank"" href=""https://www.zalando.co.uk/suit-pants-trousers-dark-brown-su322e00n-o11.html"">Best match: Suit Pants Trousers Dark Brown</a></span></li><li style=""color:orange""><span style=""color:orange"">Category: Shoes. <a style=""color:orange"" target=""_blank"" href=""https://www.zalando.co.uk/jack-and-jones-jfwrussel-warm-winter-boots-cognac-ja212k01s-o11.html"">Best match: Jack And Jones Jfwrussel Warm Winter Boots Cognac</a></span></li><li style=""color:black""><span style=""color:black"">Category: Shoes. <a style=""color:black"" target=""_blank"" href=""https://www.zalando.co.uk/jack-and-jones-jfwrussel-warm-winter-boots-cognac-ja212k01s-o11.html"">Best match: Jack And Jones Jfwrussel Warm Winter Boots Cognac</a></span></li></ul></div>","<div class=""input""><img class=""img_input"" src=""./ImagesFashwell/gabriel-benois-1455544-unsplash.jpg""></div>","[{'rect': [1347, 1347, 2362, 1200], 'colour': 'red', 'product': 'Chillouts Devenport Hat Hat Brown Melange', 'link': 'https://www.zalando.co.uk/chillouts-devenport-hat-hat-brown-melange-c9654r005-o11.html', 'category': 'Hats & Beanies'}, {'rect': [1116, 1116, 2943, 3036], 'colour': 'blue', 'product': 'Tommy Hilfiger Corp Underline Tee Print T Shirt White', 'link': 'https://www.zalando.co.uk/tommy-hilfiger-corp-underline-tee-print-t-shirt-white-to122o09d-a11.html', 'category': 'Tops & Tees'}, {'rect': [572, 572, 3525, 4429], 'colour': 'green', 'product': 'Suit Pants Trousers Dark Brown', 'link': 'https://www.zalando.co.uk/suit-pants-trousers-dark-brown-su322e00n-o11.html', 'category': 'Jeans & Trousers'}, {'rect': [2943, 2943, 3986, 4549], 'colour': 'orange', 'product': 'Jack And Jones Jfwrussel Warm Winter Boots Cognac', 'link': 'https://www.zalando.co.uk/jack-and-jones-jfwrussel-warm-winter-boots-cognac-ja212k01s-o11.html', 'category': 'Shoes'}, {'rect': [323, 323, 1181, 5489], 'colour': 'black', 'product': 'Jack And Jones Jfwrussel Warm Winter Boots Cognac', 'link': 'https://www.zalando.co.uk/jack-and-jones-jfwrussel-warm-winter-boots-cognac-ja212k01s-o11.html', 'category': 'Shoes'}]"
iswanto-arif-155902-unsplash,iswanto-arif-155902-unsplash.jpg,iswanto-arif-155902-unsplashBOX.jpg,3996,2664,"<h1>Iswanto Arif</h1><div class=""output"" id=""iswanto-arif-155902-unsplash""><img class=""img_output"" src=""./ImagesFashwell/iswanto-arif-155902-unsplashBOX.jpg""></div><div class=""products""><ul><li style=""color:red""><span style=""color:red"">Category: Bags. <a style=""color:red"" target=""_blank"" href=""https://www.zalando.co.uk/pier-one-laptop-bag-cognac-foxy-pi952h02w-o11.html"">Best match: Pier One Laptop Bag Cognac Foxy</a></span></li><li style=""color:blue""><span style=""color:blue"">Category: Jackets & Coats. <a style=""color:blue"" target=""_blank"" href=""https://www.zalando.co.uk/harrington-harrington-jacket-red-ha422g002-304.html"">Best match: Harrington Harrington Jacket Red</a></span></li><li style=""color:green""><span style=""color:green"">Category: Jeans & Trousers. <a style=""color:green"" target=""_blank"" href=""https://www.zalando.co.uk/blend-bhnatan-pants-chinos-bl522e00r-b11.html"">Best match: Blend Bhnatan Pants Chinos</a></span></li></ul></div>","<div class=""input""><img class=""img_input"" src=""./ImagesFashwell/iswanto-arif-155902-unsplash.jpg""></div>","[{'rect': [1638, 1638, 2009, 2175], 'colour': 'red', 'product': 'Pier One Laptop Bag Cognac Foxy', 'link': 'https://www.zalando.co.uk/pier-one-laptop-bag-cognac-foxy-pi952h02w-o11.html', 'category': 'Bags'}, {'rect': [1730, 1730, 2392, 2135], 'colour': 'blue', 'product': 'Harrington Harrington Jacket Red', 'link': 'https://www.zalando.co.uk/harrington-harrington-jacket-red-ha422g002-304.html', 'category': 'Jackets & Coats'}, {'rect': [1844, 1844, 2346, 2654], 'colour': 'green', 'product': 'Blend Bhnatan Pants Chinos', 'link': 'https://www.zalando.co.uk/blend-bhnatan-pants-chinos-bl522e00r-b11.html', 'category': 'Jeans & Trousers'}]"
